,움직임(z축 X)_1,움직임(z축 X)_0
992,2.665,2.39
993,2.497,2.381
994,2.481,2.356
995,2.696,2.439
996,2.429,2.461
997,2.388,2.539
998,2.359,2.834
999,2.732,2.669
1000,2.226,2.613
1001,2.178,2.602
1002,2.221,2.618
1003,2.175,2.551
1004,2.195,2.621
1005,2.301,2.518
1006,2.315,2.644
1007,3.207,2.528
1008,2.561,2.505
1009,2.341,2.635
1010,2.341,2.506
1011,2.336,2.573
1012,2.341,2.382
1013,2.338,2.773
1014,2.336,2.523
1015,2.342,2.503
1016,2.335,2.374
1017,2.344,2.372
1018,2.343,2.365
1019,2.357,2.365
1020,2.552,2.364
1021,2.35,2.376
1022,2.34,2.383
1023,2.33,2.349
1024,2.329,2.347
1025,2.335,2.343
1026,2.329,2.343
1027,2.333,2.346
1028,2.339,2.35
1029,2.546,2.412
1030,2.327,2.349
1031,2.306,2.341
1032,2.323,2.396
1033,2.282,2.805
1034,2.285,2.465
1035,2.303,2.478
1036,2.285,2.653
1037,2.315,2.926
1038,2.287,2.938
1039,2.261,2.883
1040,2.263,2.693
1041,2.267,2.683
1042,2.26,2.622
1043,2.264,2.696
1044,2.29,2.962
1045,3.133,3.374
1046,2.929,2.664
1047,2.962,2.538
1048,2.744,2.797
1049,2.863,3.438
1050,2.811,2.591
1051,2.802,2.463
1052,2.846,2.451
1053,2.948,2.481
1054,2.553,2.456
1055,2.887,2.453
1056,3.138,2.612
1057,2.346,2.47
1058,2.388,2.39
1059,2.402,2.631
1060,2.445,2.586
1061,2.472,2.49
1062,2.839,2.59
1063,2.529,2.75
1064,2.452,2.678
1065,2.569,2.546
1066,2.566,2.724
1067,2.539,2.614
1068,2.456,2.366
1069,2.6,2.478
1070,2.478,2.39
1071,2.501,2.55
1072,2.481,2.435
1073,2.766,2.533
1074,2.557,2.472
1075,2.747,2.596
1076,2.47,2.54
1077,2.706,2.664
1078,2.485,2.445
1079,2.404,2.31
1080,2.396,2.295
1081,2.385,2.384
1082,2.417,2.443
1083,2.517,2.353
1084,2.298,2.391
1085,2.283,2.403
1086,2.323,2.542
1087,2.344,2.302
1088,2.331,2.341
1089,2.284,2.31
1090,2.385,2.385
1091,2.32,2.707
1092,2.33,2.669
1093,2.416,2.23
1094,2.348,2.758
1095,2.288,2.619
1096,2.454,3.324
1097,2.294,2.368
1098,2.309,2.382
1099,2.598,2.351
1100,2.412,2.318
1101,2.401,2.327
1102,2.335,2.315
1103,2.241,2.327
1104,2.321,2.602
1105,2.304,2.306
1106,2.301,2.724
1107,2.3,2.757
1108,2.301,2.661
1109,2.271,2.566
1110,2.291,2.574
1111,2.288,3.152
1112,2.286,2.695
1113,2.233,2.613
1114,2.445,2.727
1115,2.275,2.65
1116,2.277,2.963
1117,2.282,2.58
1118,2.284,2.956
1119,2.294,2.892
1120,2.287,2.632
1121,2.553,3.004
1122,2.46,2.577
1123,2.327,2.851
1124,2.297,2.683
1125,2.33,2.911
1126,2.321,2.826
1127,2.35,2.673
1128,2.301,3.004
1129,2.288,2.412
1130,2.279,2.489
1131,2.344,2.463
1132,2.294,2.424
1133,2.28,2.545
1134,2.318,2.656
1135,2.326,2.398
1136,2.332,2.472
1137,2.298,2.413
1138,2.267,2.561
1139,2.341,2.49
1140,2.607,2.263
1141,2.454,2.44
1142,2.235,2.497
1143,2.263,2.38
1144,2.273,2.441
1145,2.225,2.439
1146,2.24,2.428
1147,2.264,2.329
1148,2.284,3.115
1149,2.281,2.867
1150,2.368,2.621
1151,2.555,2.827
1152,2.352,2.865
1153,2.812,2.875
1154,2.977,2.799
1155,2.384,2.789
1156,2.361,2.749
1157,2.392,2.757
1158,2.408,2.75
1159,2.382,2.755
1160,2.379,2.754
1161,2.376,2.845
1162,3.39,2.993
1163,2.823,3.449
1164,2.801,2.788
1165,3.309,3.018
1166,2.409,2.684
1167,2.402,2.687
1168,2.394,2.811
1169,2.521,2.932
1170,2.636,3.011
1171,3.286,3.065
1172,2.645,2.988
1173,2.522,3.102
1174,2.459,3.114
1175,2.478,2.83
1176,2.459,2.782
1177,2.464,2.812
1178,2.452,2.728
1179,2.591,3.558
1180,2.925,2.547
1181,2.529,3.403
1182,2.585,3.292
1183,2.528,2.624
1184,2.458,2.709
1185,2.464,2.653
1186,2.466,2.69
1187,2.467,2.634
1188,2.469,3.1
1189,2.806,3.325
1190,2.493,2.811
1191,2.497,2.845
1192,2.514,2.743
1193,2.525,3.544
1194,2.55,3.501
1195,3.454,1.72
1196,3.403,3.546
1197,2.645,1.71
1198,2.632,3.131
1199,2.673,3.501
1200,3.051,3.625
1201,2.392,3.1
1202,2.442,3.405
1203,2.516,3.192
1204,2.522,3.107
1205,2.537,3.348
